Gm#,Date,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,year,team
68,"Wednesday, Jun 13",SEA,LAA,W-wo,8,6,,44-24,1,up 0.5,Elias,Drake,,3:35,D,28236,++++,,2018,SEA
69,"Thursday, Jun 14",SEA,BOS,L,1,2,,44-25,2,0.5,Price,Hernandez,Kimbrel,2:56,N,30479,-,,2018,SEA
70,"Friday, Jun 15",SEA,BOS,W,7,6,,45-25,2,0.5,Cook,Barnes,Diaz,3:09,N,44459,+,,2018,SEA
71,"Saturday, Jun 16",SEA,BOS,W,1,0,,46-25,2,0.5,LeBlanc,Wright,Diaz,2:22,N,44151,++,,2018,SEA
72,"Sunday, Jun 17",SEA,BOS,L,3,9,,46-26,2,1.5,Rodriguez,Leake,,3:15,D,46462,-,,2018,SEA
83,"Friday, Jun 29",SEA,KCR,W,4,1,,52-31,2,2.5,Gonzales,Kennedy,,2:26,N,25558,+++++,,2018,SEA
84,"Saturday, Jun 30",SEA,KCR,W,6,4,,53-31,2,1.5,Hernandez,Hammel,Diaz,2:38,N,33395,++++++,,2018,SEA
85,"Sunday, Jul 1",SEA,KCR,W,1,0,,54-31,2,0.5,Paxton,Keller,Diaz,2:00,D,38344,+++++++,,2018,SEA
86,"Tuesday, Jul 3",SEA,LAA,W,4,1,,55-31,2,0.5,LeBlanc,Heaney,Diaz,2:27,N,38624,++++++++,,2018,SEA
87,"Wednesday, Jul 4",SEA,LAA,L,4,7,,55-32,2,1.5,Richards,Leake,Parker,3:33,D,39518,-,,2018,SEA
88,"Thursday, Jul 5",SEA,LAA,W,4,1,,56-32,2,1.5,Gonzales,Barria,Diaz,3:22,N,32128,+,,2018,SEA
89,"Friday, Jul 6",SEA,COL,L,1,7,,56-33,2,2.5,Marquez,Hernandez,,3:11,N,26554,-,,2018,SEA
90,"Saturday, Jul 7",SEA,COL,L,1,5,,56-34,2,3.5,Oberg,Paxton,,2:53,D,36104,--,,2018,SEA
91,"Sunday, Jul 8",SEA,COL,W,6,4,,57-34,2,3.5,LeBlanc,Senzatela,Diaz,2:28,D,34440,+,,2018,SEA
98,"Friday, Jul 20",SEA,CHW,W,3,1,,59-39,2,5.0,LeBlanc,Shields,Diaz,2:37,N,43331,+,,2018,SEA
99,"Saturday, Jul 21",SEA,CHW,L,0,5,,59-40,2,6.0,Covey,Hernandez,,2:28,N,38186,-,,2018,SEA
100,"Sunday, Jul 22",SEA,CHW,W,8,2,,60-40,2,5.0,Gonzales,Lopez,,2:53,D,38207,+,,2018,SEA
101,"Tuesday, Jul 24",SEA,SFG,L,3,4,,60-41,2,6.0,Watson,Diaz,Smith,2:58,N,40276,-,,2018,SEA
102,"Wednesday, Jul 25",SEA,SFG,W,3,2,,61-41,2,5.0,Colome,Watson,Diaz,2:37,D,45548,+,,2018,SEA
106,"Monday, Jul 30",SEA,HOU,W,2,0,,63-43,2,3.0,Paxton,Cole,Diaz,2:19,N,35198,++,,2018,SEA
107,"Tuesday, Jul 31",SEA,HOU,L,2,5,,63-44,2,4.0,Morton,Leake,Rondon,3:09,N,28478,-,,2018,SEA
108,"Wednesday, Aug 1",SEA,HOU,L,3,8,,63-45,2,5.0,Keuchel,LeBlanc,,3:02,D,34575,--,,2018,SEA
109,"Thursday, Aug 2",SEA,TOR,L,3,7,,63-46,3,5.5,Hauschild,Nicasio,,3:01,N,26110,---,,2018,SEA
110,"Friday, Aug 3",SEA,TOR,L,2,7,,63-47,3,6.5,Borucki,Gonzales,,2:23,N,30715,----,,2018,SEA
111,"Saturday, Aug 4",SEA,TOR,L,1,5,,63-48,3,7.5,Estrada,Paxton,,2:34,N,41238,-----,,2018,SEA
112,"Sunday, Aug 5",SEA,TOR,W,6,3,,64-48,3,6.5,Duke,Biagini,Diaz,2:37,D,40515,+,,2018,SEA
123,"Friday, Aug 17",SEA,LAD,L,1,11,,70-53,3,4.5,Buehler,LeBlanc,,2:44,N,46796,-,,2018,SEA
124,"Saturday, Aug 18",SEA,LAD,W-wo,5,4,10,71-53,3,3.5,Warren,Ferguson,,3:36,N,43264,+,,2018,SEA
125,"Sunday, Aug 19",SEA,LAD,L,1,12,,71-54,3,4.5,Kershaw,Elias,,3:12,D,45419,-,,2018,SEA
126,"Monday, Aug 20",SEA,HOU,W,7,4,,72-54,3,3.5,Colome,McHugh,Diaz,3:05,N,27072,+,,2018,SEA
127,"Tuesday, Aug 21",SEA,HOU,L,2,3,,72-55,3,4.5,Valdez,Detwiler,Rondon,2:56,N,25415,-,,2018,SEA
128,"Wednesday, Aug 22",SEA,HOU,L,7,10,,72-56,3,5.5,Morton,Gonzales,Osuna,3:13,D,31062,--,,2018,SEA
138,"Monday, Sep 3",SEA,BAL,W,2,1,,77-61,3,8.0,Ramirez,Rogers,Diaz,2:33,N,20579,+,,2018,SEA
139,"Tuesday, Sep 4",SEA,BAL,L,3,5,,77-62,3,9.0,Cobb,Warren,Givens,3:19,N,11265,-,,2018,SEA
140,"Wednesday, Sep 5",SEA,BAL,W,5,2,,78-62,3,9.0,Leake,Cashner,Diaz,3:04,N,15017,+,,2018,SEA
141,"Friday, Sep 7",SEA,NYY,L,0,4,,78-63,3,10.0,Tanaka,Paxton,,2:32,N,32195,-,,2018,SEA
142,"Saturday, Sep 8",SEA,NYY,L,2,4,,78-64,3,11.0,Lynn,Vincent,Betances,2:49,N,38733,--,,2018,SEA
143,"Sunday, Sep 9",SEA,NYY,W,3,2,,79-64,3,10.0,Colome,Betances,Diaz,3:05,D,34917,+,,2018,SEA
144,"Tuesday, Sep 11",SEA,SDP,L,1,2,,79-65,3,11.5,Stammen,Diaz,Yates,2:49,N,13833,-,,2018,SEA
145,"Wednesday, Sep 12",SEA,SDP,L,4,5,,79-66,3,12.5,Lucchesi,LeBlanc,Yates,3:07,D,17164,--,,2018,SEA
156,"Monday, Sep 24",SEA,OAK,L,3,7,,85-71,3,14.0,Buchter,Armstrong,,3:03,N,16491,--,,2018,SEA
157,"Tuesday, Sep 25",SEA,OAK,W-wo,10,8,11,86-71,3,14.0,Colome,Pagan,,3:57,N,12791,+,,2018,SEA
158,"Wednesday, Sep 26",SEA,OAK,L,3,9,,86-72,3,14.0,Buchter,Hernandez,,3:13,N,13727,-,,2018,SEA
159,"Thursday, Sep 27",SEA,TEX,L,0,2,,86-73,3,14.5,Jurado,Duke,Leclerc,2:36,N,15799,--,,2018,SEA
160,"Friday, Sep 28",SEA,TEX,W,12,6,,87-73,3,14.5,LeBlanc,Perez,,3:47,N,23598,+,,2018,SEA
161,"Saturday, Sep 29",SEA,TEX,W,4,1,,88-73,3,15.0,Vincent,Sampson,Diaz,2:37,N,31780,++,,2018,SEA
162,"Sunday, Sep 30",SEA,TEX,W,3,1,,89-73,3,14.0,Elias,Gallardo,Armstrong,2:14,D,21146,+++,,2018,SEA
3,"Thursday, Mar 28",SEA,BOS,W,12,4,,3-0,1,up 1.0,Gonzales,Sale,,3:34,D,45600,+++,,2019,SEA
4,"Friday, Mar 29",SEA,BOS,L,6,7,,3-1,1,up 1.0,Johnson,Strickland,Barnes,3:20,N,29002,-,,2019,SEA
5,"Saturday, Mar 30",SEA,BOS,W,6,5,,4-1,1,up 1.5,Leake,Rodriguez,Rumbelow,3:10,N,34933,+,,2019,SEA
6,"Sunday, Mar 31",SEA,BOS,W,10,8,,5-1,1,up 1.5,LeBlanc,Porcello,Bradford,3:39,D,33393,++,,2019,SEA
7,"Monday, Apr 1",SEA,LAA,W,6,3,,6-1,1,up 2.0,Hernandez,Stratton,Elias,3:20,N,14459,+++,,2019,SEA
8,"Tuesday, Apr 2",SEA,LAA,W,2,1,,7-1,1,up 2.0,Gonzales,Garcia,Swarzak,2:16,N,13547,++++,,2019,SEA
16,"Friday, Apr 12",SEA,HOU,L,6,10,,13-3,1,up 3.0,Peacock,Armstrong,Osuna,3:22,N,30972,-,,2019,SEA
17,"Saturday, Apr 13",SEA,HOU,L,1,3,,13-4,1,up 2.0,Verlander,Hernandez,Osuna,2:46,N,30538,--,,2019,SEA
18,"Sunday, Apr 14",SEA,HOU,L,2,3,,13-5,1,up 1.0,Cole,Brennan,Osuna,2:40,D,29242,---,,2019,SEA
19,"Monday, Apr 15",SEA,CLE,L,4,6,,13-6,1,up 0.5,Bauer,Kikuchi,Hand,3:33,N,11215,----,,2019,SEA
20,"Tuesday, Apr 16",SEA,CLE,L,2,4,,13-7,2,0.5,Bieber,Leake,Hand,3:07,N,11838,-----,,2019,SEA
21,"Wednesday, Apr 17",SEA,CLE,L,0,1,,13-8,2,0.5,Carrasco,Swanson,Wittgren,2:32,D,13529,------,,2019,SEA
28,"Thursday, Apr 25",SEA,TEX,W,14,2,,17-11,1,up 0.5,Gonzales,Hearn,,3:25,N,12649,+,,2019,SEA
29,"Friday, Apr 26",SEA,TEX,W-wo,5,4,11,18-11,1,up 1.5,Elias,Dowdy,,4:06,N,21719,++,,2019,SEA
30,"Saturday, Apr 27",SEA,TEX,L,1,15,,18-12,1,up 0.5,Minor,Leake,,3:11,N,26495,-,,2019,SEA
31,"Sunday, Apr 28",SEA,TEX,L,1,14,,18-13,2,0.5,Lynn,Swanson,,3:10,D,21513,--,,2019,SEA
32,"Tuesday, Apr 30",SEA,CHC,L,5,6,,18-14,2,1.0,Brach,Brennan,Cishek,3:10,N,27229,---,,2019,SEA
33,"Wednesday, May 1",SEA,CHC,L,0,11,,18-15,2,1.0,Lester,Gonzales,,2:41,D,29479,----,,2019,SEA
44,"Monday, May 13",SEA,OAK,W-wo,6,5,10,21-23,3,7.0,Brennan,Soria,,3:47,N,12514,+,,2019,SEA
45,"Tuesday, May 14",SEA,OAK,W,4,3,,22-23,2,7.0,Leake,Anderson,Elias,2:37,N,11363,++,,2019,SEA
46,"Thursday, May 16",SEA,MIN,L,6,11,,22-24,2,8.0,Pineda,Swanson,,3:03,N,16161,-,,2019,SEA
47,"Friday, May 17",SEA,MIN,L,1,7,,22-25,4,9.0,Perez,Gonzales,,2:36,N,20256,--,,2019,SEA
48,"Saturday, May 18",SEA,MIN,L,4,18,,22-26,5,10.0,Duffey,LeBlanc,,3:50,N,34440,---,,2019,SEA
49,"Sunday, May 19",SEA,MIN,W,7,4,,23-26,5,9.0,Kikuchi,Gibson,,3:00,D,31070,+,,2019,SEA
56,"Monday, May 27",SEA,TEX,W,6,2,,24-32,5,12.5,Milone,Lynn,,3:14,N,14086,+,,2019,SEA
57,"Tuesday, May 28",SEA,TEX,L,4,11,,24-33,5,13.5,Sampson,Gonzales,,3:17,N,12287,-,,2019,SEA
58,"Wednesday, May 29",SEA,TEX,L,7,8,,24-34,5,13.5,Chavez,Bass,Kelley,3:20,D,16060,--,,2019,SEA
59,"Thursday, May 30",SEA,LAA,L,3,9,,24-35,5,14.0,Pena,Kikuchi,,3:21,N,13978,---,,2019,SEA
60,"Friday, May 31",SEA,LAA,W,4,3,,25-35,5,14.0,Leake,Skaggs,Bass,2:35,N,32167,+,,2019,SEA
61,"Saturday, Jun 1",SEA,LAA,L,3,6,,25-36,5,15.0,Bedrosian,Brennan,Robles,3:16,D,28109,-,,2019,SEA
62,"Sunday, Jun 2",SEA,LAA,L,3,13,,25-37,5,16.0,Suarez,Gonzales,,3:22,D,28905,--,,2019,SEA
63,"Monday, Jun 3",SEA,HOU,L,2,4,,25-38,5,17.0,Valdez,Gearrin,Pressly,2:49,N,11826,---,,2019,SEA
64,"Tuesday, Jun 4",SEA,HOU,L,5,11,,25-39,5,18.0,Guduan,Brennan,,3:21,N,12245,----,,2019,SEA
65,"Wednesday, Jun 5",SEA,HOU,W,14,1,,26-39,5,17.0,Leake,Peacock,,2:49,N,13653,+,,2019,SEA
66,"Thursday, Jun 6",SEA,HOU,L,7,8,14,26-40,5,18.0,Devenski,Festa,,5:06,D,20267,-,,2019,SEA
76,"Monday, Jun 17",SEA,KCR,L,4,6,,31-45,5,18.5,Flynn,Bass,Kennedy,3:22,N,14469,-,,2019,SEA
77,"Tuesday, Jun 18",SEA,KCR,L,0,9,,31-46,5,18.5,Bailey,Kikuchi,,3:06,N,12854,--,,2019,SEA
78,"Wednesday, Jun 19",SEA,KCR,W,8,2,,32-46,5,17.5,Gonzales,Keller,,2:51,D,16296,+,,2019,SEA
79,"Thursday, Jun 20",SEA,BAL,W,5,2,,33-46,5,16.5,LeBlanc,Bundy,Elias,3:16,N,15217,++,,2019,SEA
80,"Friday, Jun 21",SEA,BAL,W,10,9,,34-46,5,15.5,Leake,Gilmartin,Elias,3:18,N,23293,+++,,2019,SEA
81,"Saturday, Jun 22",SEA,BAL,L,4,8,,34-47,5,15.5,Cashner,Milone,,3:05,D,27484,-,,2019,SEA
82,"Sunday, Jun 23",SEA,BAL,W,13,3,,35-47,5,15.5,Kikuchi,Ynoa,,3:07,D,22837,+,,2019,SEA
89,"Tuesday, Jul 2",SEA,STL,W,5,4,,38-51,5,17.5,Adams,Gallegos,Elias,3:18,N,20173,+,,2019,SEA
90,"Wednesday, Jul 3",SEA,STL,L,2,5,,38-52,5,18.5,Brebbia,Adams,,2:58,N,31876,-,,2019,SEA
91,"Thursday, Jul 4",SEA,STL,L,4,5,,38-53,5,19.0,Ponce de Leon,Milone,Martinez,2:45,D,26673,--,,2019,SEA
92,"Friday, Jul 5",SEA,OAK,L,2,5,,38-54,5,19.0,Anderson,Kikuchi,Hendriks,2:51,N,19736,---,,2019,SEA
93,"Saturday, Jul 6",SEA,OAK,W,6,3,,39-54,5,19.0,Gonzales,Bassitt,,2:31,N,24305,+,,2019,SEA
94,"Sunday, Jul 7",SEA,OAK,L,4,7,,39-55,5,20.0,Mengden,Carasiti,Hendriks,3:15,D,25830,-,,2019,SEA
100,"Friday, Jul 19",SEA,LAA,W,10,0,,40-60,5,22.5,Leake,Barria,,2:32,N,19994,+,,2019,SEA
101,"Saturday, Jul 20",SEA,LAA,L,2,6,,40-61,5,23.5,Buttrey,Elias,,3:23,N,30941,-,,2019,SEA
102,"Sunday, Jul 21",SEA,LAA,L,3,9,,40-62,5,24.5,Peters,Kikuchi,,3:15,D,25984,--,,2019,SEA
103,"Monday, Jul 22",SEA,TEX,W,7,3,,41-62,5,24.5,Gonzales,Sampson,Elias,2:50,N,16110,+,,2019,SEA
104,"Tuesday, Jul 23",SEA,TEX,L,2,7,,41-63,5,24.5,Payano,Milone,,2:39,N,15536,-,,2019,SEA
105,"Wednesday, Jul 24",SEA,TEX,W,5,3,,42-63,5,24.5,Leake,Minor,Elias,2:25,D,28145,+,,2019,SEA
106,"Thursday, Jul 25",SEA,DET,W,10,2,,43-63,5,24.0,LeBlanc,VerHagen,,2:47,N,18536,++,,2019,SEA
107,"Friday, Jul 26",SEA,DET,W-wo,3,2,,44-63,5,23.0,Elias,Cisnero,,2:51,N,26664,+++,,2019,SEA
108,"Saturday, Jul 27",SEA,DET,W,8,1,,45-63,5,23.0,Gonzales,Alexander,,3:02,D,27156,++++,,2019,SEA
109,"Sunday, Jul 28",SEA,DET,W-wo,3,2,10,46-63,5,23.0,Elias,Cisnero,,2:58,D,20045,+++++,,2019,SEA
115,"Tuesday, Aug 6",SEA,SDP,L,4,9,,47-68,5,27.5,Lamet,LeBlanc,,2:55,N,24014,-----,,2019,SEA
116,"Wednesday, Aug 7",SEA,SDP,W,3,2,,48-68,5,27.5,Magill,Munoz,Bass,3:05,D,20157,+,,2019,SEA
117,"Friday, Aug 9",SEA,TBR,L,3,5,,48-69,5,28.5,Drake,Bass,Pagan,3:21,N,26774,-,,2019,SEA
118,"Saturday, Aug 10",SEA,TBR,L,4,5,,48-70,5,29.5,Morton,Milone,Pagan,2:39,N,33895,--,,2019,SEA
119,"Sunday, Aug 11",SEA,TBR,L,0,1,,48-71,5,29.5,Yarbrough,LeBlanc,Pagan,2:23,D,24245,---,,2019,SEA
129,"Friday, Aug 23",SEA,TOR,W,7,4,,55-74,5,27.5,Wisler,Gaviglio,Magill,3:51,N,34707,+,,2019,SEA
130,"Saturday, Aug 24",SEA,TOR,L,5,7,,55-75,5,28.5,Stewart,McClain,Law,3:38,N,34590,-,,2019,SEA
131,"Sunday, Aug 25",SEA,TOR,W,3,1,,56-75,5,28.5,Gonzales,Buchholz,Magill,2:28,D,29345,+,,2019,SEA
132,"Monday, Aug 26",SEA,NYY,L,4,5,,56-76,5,29.0,Happ,Milone,Chapman,2:57,N,23030,-,,2019,SEA
133,"Tuesday, Aug 27",SEA,NYY,L,0,7,,56-77,5,30.0,Tanaka,Kikuchi,,2:59,N,23131,--,,2019,SEA
134,"Wednesday, Aug 28",SEA,NYY,L,3,7,,56-78,5,31.0,Paxton,Sheffield,,3:11,D,32026,---,,2019,SEA
145,"Tuesday, Sep 10",SEA,CIN,W,4,3,,59-86,5,35.5,Altavilla,Garrett,Bass,2:49,N,12232,+,,2019,SEA
146,"Wednesday, Sep 11",SEA,CIN,W,5,3,,60-86,5,34.5,Gonzales,Gray,Bass,2:58,N,10147,++,,2019,SEA
147,"Thursday, Sep 12",SEA,CIN,L,5,11,,60-87,5,34.5,Romano,Altavilla,,3:21,N,15564,-,,2019,SEA
148,"Friday, Sep 13",SEA,CHW,L,7,9,,60-88,5,35.5,Osich,Kikuchi,Colome,3:47,N,17371,--,,2019,SEA
149,"Saturday, Sep 14",SEA,CHW,W-wo,2,1,10,61-88,5,35.5,Magill,Colome,,3:28,N,26060,+,,2019,SEA
150,"Sunday, Sep 15",SEA,CHW,W-wo,11,10,,62-88,5,35.5,Adams,Ruiz,,3:44,D,17105,++,,2019,SEA
157,"Tuesday, Sep 24",SEA,HOU,L,0,3,,66-91,5,37.0,Cole,Milone,Osuna,2:51,N,11262,--,,2019,SEA
158,"Wednesday, Sep 25",SEA,HOU,L,0,3,,66-92,5,38.0,Greinke,Kikuchi,Harris,2:33,N,10921,---,,2019,SEA
159,"Thursday, Sep 26",SEA,OAK,L,1,3,,66-93,5,38.0,Manaea,Hernandez,Hendriks,2:39,N,20907,----,,2019,SEA
160,"Friday, Sep 27",SEA,OAK,W-wo,4,3,,67-93,5,38.0,Warren,Hendriks,,3:34,N,24198,+,,2019,SEA
161,"Saturday, Sep 28",SEA,OAK,L,0,1,,67-94,5,39.0,Anderson,Gonzales,Luzardo,2:41,N,26470,-,,2019,SEA
162,"Sunday, Sep 29",SEA,OAK,W,3,1,,68-94,5,39.0,McClain,Roark,Bass,2:52,D,16819,+,,2019,SEA
1,"Sunday, Apr 2",STL,CHC,W-wo,4,3,,1-0,1,up 0.5,Oh,Montgomery,,3:33,N,47566,+,,2017,STL
2,"Tuesday, Apr 4",STL,CHC,L,1,2,,1-1,1,Tied,Arrieta,Wainwright,Davis,2:57,N,46760,-,,2017,STL
3,"Thursday, Apr 6",STL,CHC,L,4,6,,1-2,3,1.0,Lackey,Cecil,Davis,3:18,D,44039,--,,2017,STL
4,"Friday, Apr 7",STL,CIN,L,0,2,,1-3,5,2.0,Garrett,Leake,Iglesias,2:17,N,44653,---,,2017,STL
5,"Saturday, Apr 8",STL,CIN,W,10,4,,2-3,4,1.0,Wacha,Arroyo,,2:47,D,46558,+,,2017,STL
6,"Sunday, Apr 9",STL,CIN,L,0,8,,2-4,4,2.0,Feldman,Martinez,,2:44,D,45200,-,,2017,STL
13,"Monday, Apr 17",STL,PIT,W,2,1,,4-9,5,4.0,Lynn,Nova,Oh,2:14,N,40172,+,,2017,STL
14,"Tuesday, Apr 18",STL,PIT,W,2,1,,5-9,5,4.0,Leake,Kuhl,Oh,2:31,N,38806,++,,2017,STL
15,"Wednesday, Apr 19",STL,PIT,W,2,1,,6-9,4,3.0,Wacha,Cole,Rosenthal,2:40,D,40182,+++,,2017,STL
20,"Tuesday, Apr 25",STL,TOR,L,5,6,11,9-11,4,3.0,Grilli,Socolovich,Tepera,3:46,N,40223,-,,2017,STL
21,"Thursday, Apr 27 (1)",STL,TOR,W-wo,8,4,11,10-11,3,1.5,Bowman,Tepera,,3:32,D,40099,+,,2017,STL
22,"Thursday, Apr 27 (2)",STL,TOR,W,6,4,,11-11,3,1.5,Wainwright,Lawrence,Rosenthal,2:56,N,40035,++,,2017,STL
23,"Friday, Apr 28",STL,CIN,W,7,5,,12-11,2,0.5,Lynn,Adleman,Oh,3:08,N,42722,+++,,2017,STL
24,"Sunday, Apr 30",STL,CIN,L,4,5,,12-12,2,1.0,Peralta,Rosenthal,Iglesias,3:20,D,45682,-,,2017,STL
25,"Monday, May 1",STL,MIL,L,5,7,10,12-13,3,1.0,Drake,Oh,Feliz,3:09,N,36339,--,,2017,STL
26,"Tuesday, May 2",STL,MIL,W,2,1,,13-13,2,1.0,Martinez,Peralta,Rosenthal,2:47,N,38616,+,,2017,STL
27,"Thursday, May 4",STL,MIL,L,4,5,,13-14,4,2.5,Drake,Bowman,Feliz,3:29,N,36250,-,,2017,STL
34,"Friday, May 12",STL,CHC,L,2,3,,19-15,1,up 0.5,Butler,Leake,Davis,3:01,N,47601,-,,2017,STL
35,"Saturday, May 13",STL,CHC,W,5,3,,20-15,1,up 1.0,Martinez,Lester,Oh,2:51,D,47882,+,,2017,STL
36,"Sunday, May 14",STL,CHC,W,5,0,,21-15,1,up 1.0,Wainwright,Arrieta,,2:38,D,47925,++,,2017,STL
37,"Tuesday, May 16",STL,BOS,L,3,6,,21-16,1,up 0.5,Rodriguez,Lynn,Kimbrel,3:21,N,41514,-,,2017,STL
38,"Wednesday, May 17",STL,BOS,L,4,5,13,21-17,2,0.5,Abad,Tuivailala,Taylor,4:20,N,44365,--,,2017,STL
39,"Friday, May 19",STL,SFG,L,5,6,,21-18,2,2.0,Morris,Oh,Melancon,3:15,N,44548,---,,2017,STL
40,"Saturday, May 20",STL,SFG,L,1,3,13,21-19,2,2.5,Strickland,Siegrist,Melancon,3:42,N,45072,----,,2017,STL
41,"Sunday, May 21",STL,SFG,W,8,3,,22-19,2,1.5,Wainwright,Cain,,2:53,D,47533,+,,2017,STL
48,"Monday, May 29",STL,LAD,L,1,5,,24-24,2,1.5,Hill,Leake,,2:50,D,46241,--,,2017,STL
49,"Tuesday, May 30",STL,LAD,L,4,9,,24-25,2,1.5,Morrow,Wacha,,3:55,N,38466,---,,2017,STL
50,"Wednesday, May 31",STL,LAD,W,2,1,,25-25,2,1.5,Martinez,Stripling,Oh,2:19,N,40304,+,,2017,STL
51,"Thursday, Jun 1",STL,LAD,W,2,0,,26-25,2,1.5,Wainwright,McCarthy,Oh,3:07,D,40477,++,,2017,STL
59,"Friday, Jun 9",STL,PHI,W,3,2,,27-32,4,4.5,Wacha,Hellickson,Oh,2:43,N,42971,+,,2017,STL
60,"Saturday, Jun 10",STL,PHI,W,7,0,,28-32,4,3.5,Martinez,Pivetta,,2:28,D,43911,++,,2017,STL
61,"Sunday, Jun 11",STL,PHI,W,6,5,,29-32,3,2.5,Wainwright,Nola,Oh,3:09,D,47325,+++,,2017,STL
62,"Tuesday, Jun 13 (1)",STL,MIL,W,6,0,,30-32,3,2.5,Lynn,Suter,Lyons,3:03,D,40083,++++,,2017,STL
63,"Tuesday, Jun 13 (2)",STL,MIL,L,5,8,,30-33,3,2.5,Hughes,Rosenthal,Knebel,3:19,N,40115,-,,2017,STL
64,"Wednesday, Jun 14",STL,MIL,L,6,7,,30-34,3,3.5,Garza,Leake,Knebel,3:09,N,38061,--,,2017,STL
65,"Thursday, Jun 15",STL,MIL,L,4,6,,30-35,3,4.5,Torres,Oh,Drake,3:14,N,45228,---,,2017,STL
72,"Friday, Jun 23",STL,PIT,L,3,4,,33-39,3,5.0,Vazquez,Oh,,3:08,N,47112,--,,2017,STL
73,"Saturday, Jun 24",STL,PIT,L,3,7,,33-40,4,5.0,Cole,Lynn,,3:00,N,46735,---,,2017,STL
74,"Sunday, Jun 25",STL,PIT,W,8,4,,34-40,3,5.0,Rosenthal,Nicasio,,3:11,N,43719,+,,2017,STL
75,"Monday, Jun 26",STL,CIN,W,8,2,,35-40,3,4.5,Wacha,Finnegan,,2:49,D,46535,++,,2017,STL
79,"Friday, Jun 30",STL,WSN,W,8,1,,38-41,3,3.5,Leake,Roark,,2:54,N,41398,+++,,2017,STL
80,"Saturday, Jul 1",STL,WSN,W,2,1,,39-41,3,3.5,Wacha,Gonzalez,Bowman,2:53,N,43614,++++,,2017,STL
81,"Sunday, Jul 2",STL,WSN,L,2,7,,39-42,3,3.5,Scherzer,Martinez,,2:57,N,43640,-,,2017,STL
82,"Monday, Jul 3",STL,MIA,W,14,6,,40-42,3,3.5,Wainwright,Locke,,3:17,N,42694,+,,2017,STL
83,"Tuesday, Jul 4",STL,MIA,L,2,5,,40-43,3,4.5,Urena,Lynn,Ramos,3:04,D,38497,-,,2017,STL
84,"Wednesday, Jul 5",STL,MIA,L,6,9,,40-44,3,5.5,McGowan,Leake,Ramos,3:19,N,40204,--,,2017,STL
85,"Thursday, Jul 6",STL,MIA,W,4,3,,41-44,3,5.5,Wacha,Koehler,Oh,3:11,D,37780,+,,2017,STL
86,"Friday, Jul 7",STL,NYM,L,5,6,,41-45,3,6.5,deGrom,Martinez,Reed,2:47,N,43849,-,,2017,STL
87,"Saturday, Jul 8",STL,NYM,W,4,1,,42-45,3,5.5,Wainwright,Wheeler,Oh,3:07,D,44013,+,,2017,STL
88,"Sunday, Jul 9",STL,NYM,W,6,0,,43-45,2,5.5,Lynn,Matz,,2:28,D,42925,++,,2017,STL
99,"Monday, Jul 24",STL,COL,W,8,2,,48-51,4,4.0,Leake,Senzatela,,2:50,N,40486,+,,2017,STL
100,"Tuesday, Jul 25",STL,COL,W-wo,3,2,,49-51,4,4.0,Rosenthal,McGee,,3:11,N,41514,++,,2017,STL
101,"Wednesday, Jul 26",STL,COL,W,10,5,,50-51,3,3.5,Martinez,Hoffman,,3:23,N,38162,+++,,2017,STL
102,"Thursday, Jul 27",STL,ARI,L,0,4,,50-52,3,4.5,Godley,Weaver,,2:47,N,39208,-,,2017,STL
103,"Friday, Jul 28",STL,ARI,W,1,0,,51-52,3,3.5,Wacha,McFarland,Rosenthal,3:10,N,41230,+,,2017,STL
104,"Saturday, Jul 29",STL,ARI,L,1,7,,51-53,3,4.5,Greinke,Leake,,3:12,N,48052,-,,2017,STL
105,"Sunday, Jul 30",STL,ARI,W,3,2,,52-53,3,4.5,Lynn,Walker,Rosenthal,3:06,D,40827,+,,2017,STL
114,"Wednesday, Aug 9",STL,KCR,W,8,5,,58-56,2,1.5,Bowman,Maurer,Rosenthal,3:15,N,44139,+++++,,2017,STL
115,"Thursday, Aug 10",STL,KCR,W,8,6,,59-56,2,1.0,Lyons,Minor,Rosenthal,3:37,N,41706,++++++,,2017,STL
116,"Friday, Aug 11",STL,ATL,W,8,5,,60-56,2,1.0,Wainwright,Foltynewicz,Bowman,3:08,N,41928,+++++++,,2017,STL
117,"Saturday, Aug 12",STL,ATL,W,6,5,,61-56,1,Tied,Martinez,Sims,Rosenthal,2:52,N,46360,++++++++,,2017,STL
118,"Sunday, Aug 13",STL,ATL,L,3,6,,61-57,2,1.0,Dickey,Wacha,Vizcaino,2:58,D,44534,-,,2017,STL
125,"Tuesday, Aug 22",STL,SDP,L,4,12,,63-62,3,4.5,Stammen,Bowman,,3:04,N,38767,---,,2017,STL
126,"Wednesday, Aug 23",STL,SDP,W,6,2,,64-62,3,4.5,Weaver,Chacin,,2:53,N,38762,+,,2017,STL
127,"Thursday, Aug 24",STL,SDP,L,3,4,,64-63,3,4.5,Yates,Tuivailala,Hand,3:06,N,38726,-,,2017,STL
128,"Friday, Aug 25",STL,TBR,L,3,7,,64-64,3,4.5,Romo,Wacha,,3:38,N,40050,--,,2017,STL
129,"Saturday, Aug 26",STL,TBR,W-wo,6,4,,65-64,3,4.5,Lyons,Boxberger,,2:30,N,41295,+,,2017,STL
